📺央视频道,#genre#
CCTV-1,http://localhost:8000/live/-6717494187124976803
CCTV-2,http://localhost:8000/live/7102681560813955298
CCTV-3,http://localhost:8000/live/-8420752383952224986
CCTV-4,http://localhost:8000/live/4972126255403673323
CCTV-5,http://localhost:8000/live/4964639410960755974
CCTV-5+,http://localhost:8000/live/1115872244199878315
CCTV-6,http://localhost:8000/live/2910211573274118665
CCTV-7,http://localhost:8000/live/4857711636344982330
CCTV-8,http://localhost:8000/live/-5942659496021696425
CCTV-9,http://localhost:8000/live/-5570012691078303417
CCTV-10,http://localhost:8000/live/-3064421129242591830
CCTV-11,http://localhost:8000/live/7804351868212086601
CCTV-12,http://localhost:8000/live/-5262518075518750165
CCTV-13,http://localhost:8000/live/3035329596977254135
CCTV-13,http://localhost:8000/live/9211635337162189535
CCTV-14,http://localhost:8000/live/-4293199989352417002
CCTV-14,http://localhost:8000/live/-713530666659156535
CCTV-15,http://localhost:8000/live/8300050161554919352
CCTV-16,http://localhost:8000/live/-399321717372486664
CCTV-17,http://localhost:8000/live/8473503854595490534

📡卫视频道,#genre#
广东卫视,http://localhost:8000/live/-3415238967469918221
广东卫视,http://localhost:8000/live/-5659296366651986865
广东卫视,http://localhost:8000/live/301861253280161636
广东卫视,http://localhost:8000/live/-3767948502589493026
广东卫视,http://localhost:8000/live/-6539717546418001230
浙江卫视,http://localhost:8000/live/-3111024714627288761
浙江卫视,http://localhost:8000/live/-2624423643952343957
浙江卫视,http://localhost:8000/live/2274505203403915547
浙江卫视,http://localhost:8000/live/-8767051186656903745
浙江卫视,http://localhost:8000/live/-7135340194973723869
浙江卫视,http://localhost:8000/live/5561286546521098552
浙江卫视,http://localhost:8000/live/-8638150618850168400
湖南卫视,http://localhost:8000/live/5220261704598814089
湖南卫视,http://localhost:8000/live/8776596153332107051
湖南卫视,http://localhost:8000/live/-5080461753924060378
湖南卫视,http://localhost:8000/live/-7923713380277866823
北京卫视,http://localhost:8000/live/-2228008941273707719
北京卫视,http://localhost:8000/live/6221603124356753478
北京卫视,http://localhost:8000/live/-4017775523881164491
北京卫视,http://localhost:8000/live/1657632472925603759
北京卫视,http://localhost:8000/live/304706691491509953
北京卫视,http://localhost:8000/live/6305122003187168588
湖北卫视,http://localhost:8000/live/-7841056055602060995
湖北卫视,http://localhost:8000/live/-2200609334343170701
湖北卫视,http://localhost:8000/live/7661592179781402610
湖北卫视,http://localhost:8000/live/422613896994654886
湖北卫视,http://localhost:8000/live/5182551936158459905
黑龙江卫视,http://localhost:8000/live/1805820472514603714
黑龙江卫视,http://localhost:8000/live/-3581586039160377769
黑龙江卫视,http://localhost:8000/live/-6882748891412500758
黑龙江卫视,http://localhost:8000/live/3668722771373500359
黑龙江卫视,http://localhost:8000/live/-1051403589051922705
安徽卫视,http://localhost:8000/live/-3010737802643115280
安徽卫视,http://localhost:8000/live/-482521345085954074
